table,name,function,definition
app_user,history_review_user_label,crm_history_review_user_label,CREATE TRIGGER history_review_user_label AFTER UPDATE ON public.app_user FOR EACH ROW EXECUTE FUNCTION crm_history_review_user_label()
app_user,mobile_user_label,crm_mobile_label_revision,CREATE TRIGGER mobile_user_label AFTER UPDATE ON public.app_user FOR EACH ROW EXECUTE FUNCTION crm_mobile_label_revision()
assignment_changed,assignment_changed_append_only,reject_mutation,CREATE TRIGGER assignment_changed_append_only BEFORE DELETE OR UPDATE ON public.assignment_changed FOR EACH ROW EXECUTE FUNCTION reject_mutation()
assignment_changed,assignment_changed_no_truncate,reject_mutation,CREATE TRIGGER assignment_changed_no_truncate BEFORE TRUNCATE ON public.assignment_changed FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
assignment_changed,history_review_rows,crm_history_review_rows,CREATE TRIGGER history_review_rows AFTER INSERT OR DELETE OR UPDATE ON public.assignment_changed FOR EACH ROW EXECUTE FUNCTION crm_history_review_rows()
assignment_changed,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.assignment_changed FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
call,history_review_call_link,crm_history_review_call_link,CREATE TRIGGER history_review_call_link AFTER INSERT OR DELETE OR UPDATE ON public.call FOR EACH ROW EXECUTE FUNCTION crm_history_review_call_link()
call,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.call FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
call_completed,call_completed_append_only,reject_mutation,CREATE TRIGGER call_completed_append_only BEFORE DELETE OR UPDATE ON public.call_completed FOR EACH ROW EXECUTE FUNCTION reject_mutation()
call_completed,call_completed_no_truncate,reject_mutation,CREATE TRIGGER call_completed_no_truncate BEFORE TRUNCATE ON public.call_completed FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
call_completed,history_review_rows,crm_history_review_rows,CREATE TRIGGER history_review_rows AFTER INSERT OR DELETE OR UPDATE ON public.call_completed FOR EACH ROW EXECUTE FUNCTION crm_history_review_rows()
call_completed,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.call_completed FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
capture_message,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.capture_message FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
capture_token_rotated,capture_token_rotated_append_only,reject_mutation,CREATE TRIGGER capture_token_rotated_append_only BEFORE DELETE OR UPDATE ON public.capture_token_rotated FOR EACH ROW EXECUTE FUNCTION reject_mutation()
capture_token_rotated,capture_token_rotated_no_truncate,reject_mutation,CREATE TRIGGER capture_token_rotated_no_truncate BEFORE TRUNCATE ON public.capture_token_rotated FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
capture_token_rotated,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.capture_token_rotated FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
contact_attempted,contact_attempted_append_only,reject_mutation,CREATE TRIGGER contact_attempted_append_only BEFORE DELETE OR UPDATE ON public.contact_attempted FOR EACH ROW EXECUTE FUNCTION reject_mutation()
contact_attempted,contact_attempted_no_truncate,reject_mutation,CREATE TRIGGER contact_attempted_no_truncate BEFORE TRUNCATE ON public.contact_attempted FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
contact_attempted,contact_attempted_touch_person,person_touch_last_contact,CREATE TRIGGER contact_attempted_touch_person AFTER INSERT ON public.contact_attempted FOR EACH ROW EXECUTE FUNCTION person_touch_last_contact()
contact_attempted,history_review_rows,crm_history_review_rows,CREATE TRIGGER history_review_rows AFTER INSERT OR DELETE OR UPDATE ON public.contact_attempted FOR EACH ROW EXECUTE FUNCTION crm_history_review_rows()
contact_attempted,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.contact_attempted FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
contact_method,history_review_core_rows,crm_history_review_core_rows,CREATE TRIGGER history_review_core_rows AFTER INSERT OR DELETE OR UPDATE ON public.contact_method FOR EACH ROW EXECUTE FUNCTION crm_history_review_core_rows()
contact_method,mobile_contact_details_revision,crm_mobile_contact_details_revision,CREATE TRIGGER mobile_contact_details_revision AFTER INSERT OR DELETE OR UPDATE ON public.contact_method FOR EACH ROW EXECUTE FUNCTION crm_mobile_contact_details_revision()
contact_method,mobile_contact_revision,crm_mobile_component_revision,CREATE TRIGGER mobile_contact_revision AFTER INSERT OR DELETE OR UPDATE ON public.contact_method FOR EACH ROW EXECUTE FUNCTION crm_mobile_component_revision()
contact_method,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.contact_method FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
correspondence_captured,correspondence_captured_append_only,reject_mutation,CREATE TRIGGER correspondence_captured_append_only BEFORE DELETE OR UPDATE ON public.correspondence_captured FOR EACH ROW EXECUTE FUNCTION reject_mutation()
correspondence_captured,correspondence_captured_no_truncate,reject_mutation,CREATE TRIGGER correspondence_captured_no_truncate BEFORE TRUNCATE ON public.correspondence_captured FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
correspondence_captured,correspondence_captured_touch_person,person_touch_correspondence,CREATE TRIGGER correspondence_captured_touch_person AFTER INSERT ON public.correspondence_captured FOR EACH ROW EXECUTE FUNCTION person_touch_correspondence()
correspondence_captured,history_review_rows,crm_history_review_rows,CREATE TRIGGER history_review_rows AFTER INSERT OR DELETE OR UPDATE ON public.correspondence_captured FOR EACH ROW EXECUTE FUNCTION crm_history_review_rows()
correspondence_captured,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.correspondence_captured FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
